participant,Neptun:1,Computer_task:1,Challengescenario:1,Failurescenario:1,Failurescenario:2,Criticismscenario:1,Criticismscenario:2,IQ1:1,IQ2:1,FMS1:1,FMS2:1,FMS3:1,FMS4:1,CrMS1:1,CrMS2:1,CrMS3:1,CrMS4:1,ChMS1:1,ChMS2:1,ChMS3:1,ChMS4:1,Ego1:1,Ego2:1,Ego3:1,Ego4:1,Ego5:1,Ego6:1,Ego7:1,Ego8:1,Ego9:1,Ego10:1,Ego11:1,university:1,gender:1,age:1,father:1,mother:1,feedback:1,TIME_start,TIME_end,TIME_total
s.eece635b-1899-4375-81d8-1c4b4a638322.txt,FO9J9B,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-23-13-46,"",""
s.c1f0efeb-5d40-46b3-adbf-2097a9d0100b.txt,E08WVE,"",1,3,3,2,3,2,2,1,2,2,3,4,3,4,5,4,4,3,3,3,2,5,5,4,4,5,5,4,6,1,ELTE PPK,1,21,4,4,"",2020-04-02-11-42,2020-04-02-12-11,29,
s.d5e2a83c-bb9d-468c-a72a-9270df234e53.txt,Q69VN2,"",2,3,3,3,3,3,4,3,4,3,3,4,4,3,3,3,4,3,3,4,3,3,4,4,4,3,4,3,3,4,ELTE,2,25,4,4,n,2020-04-02-18-20,2020-04-02-20-59,159,
s.bb7548aa-2071-4969-8ac8-df9aba2f75d3.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-31-17-26,"",""
s.5a1b2962-1417-43df-8e99-684f07db050a.txt,QMDV9N,"",1,3,4,4,3,3,3,2,3,3,3,4,4,3,4,4,4,3,2,4,4,2,3,5,5,4,5,4,5,3,ELTE,1,21,2,2,"",2020-04-02-13-13,2020-04-02-13-29,16,
s.5ebdc058-0147-47a2-b016-28937a1958e2.txt,CAST0L,"",1,4,3,4,2,4,5,2,3,5,4,3,3,5,5,3,3,4,4,3,6,1,4,4,2,3,4,3,3,2,Elte,1,22,2,2,"",2020-03-23-16-28,2020-03-23-16-46,18,
s.5ae062f7-68ab-4cc7-8966-83714995f1ed.txt,E5ORWF,"",2,2,4,2,4,4,4,4,4,3,3,4,4,2,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,ELTE,1,22,3,4,"",2020-04-02-14-06,2020-04-02-14-22,16,
s.a0b2ae98-5759-49d2-8272-6b00afe55dde.txt,B2BLQJ,"",1,2,3,2,3,4,4,3,3,4,3,4,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,4,3,ELTE,1,20,3,4,"",2020-04-04-17-06,2020-04-04-17-20,14,
s.4369d257-833e-4407-85ad-cbff0410878e.txt,ILZUVX,"",2,3,5,3,5,2,2,3,3,3,3,4,4,3,3,5,5,2,3,5,5,4,4,5,4,4,4,5,5,5,ELTE,1,22,3,4,"",2020-04-05-16-56,2020-04-05-17-13,17,
s.cec6d67d-dd8b-42c7-9425-0d8b6feef34c.txt,S9H2C1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-25-12-05,"",""
s.0d965f95-6f8e-45b7-98a4-f166975edb24.txt,EJM53S,"",1,3,5,2,5,1,1,2,4,1,1,5,4,1,1,5,4,1,2,6,6,1,6,6,4,1,6,4,5,6,Eötvös Lóránd Tudományegyetem,1,23,1,3,Nincs,2020-04-02-13-37,2020-04-02-13-53,16,
s.ba7d1e05-c0dc-462d-a975-a81e649277c5.txt,ICRFF7,"",1,3,4,3,4,3,3,3,4,3,3,4,4,3,3,4,4,3,3,4,4,4,6,4,2,2,4,3,4,4,ELTE TTK,2,20,3,2,"",2020-04-02-15-50,2020-04-02-16-08,18,
s.3c9f4ab5-3cc5-42af-8075-1e599005a8bc.txt,ROOBH5,"",1,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,4,4,3,3,2,4,3,3,3,3,3,4,3,Eötvös Loránd Tudományegyetem,1,19,3,2,"",2020-04-02-10-54,2020-04-02-11-17,23,
s.c19ad326-4311-4ff4-8e24-18baa3edb873.txt,JSETEU,"",2,4,5,3,5,3,3,3,4,2,4,5,4,2,2,6,6,1,2,3,6,2,5,5,6,4,5,4,4,5,Eötvös Loránd Tudományegyetem,1,23,4,3,"",2020-04-02-11-32,2020-04-02-11-54,22,
s.f1dbb3ae-c78e-4d40-ba78-de1e9ad3812e.txt,VEZYKY,"",1,3,2,3,2,3,2,3,3,3,4,3,3,3,4,3,3,3,2,3,4,3,3,3,3,3,4,4,3,4,ELTE TÓK,1,21,3,2,"",2020-04-02-10-13,2020-04-02-10-32,19,
s.a50dd20c-e3f8-44f2-8788-8782668e0195.txt,JFJOZE,"",2,2,4,2,4,4,4,2,5,2,2,5,4,3,3,5,5,3,3,5,3,4,5,6,3,4,4,4,3,6,ELTE,1,20,3,4,"",2020-04-02-14-48,2020-04-02-15-07,19,
